time(ms),QueueDensity,DynamicDensity
66,4.63966e-310,6.95278e-310
132,0.0215263,0.019552
198,0.026427,0.0169768
264,0.0241093,0.0246751
330,0.0308907,0.0243902
396,0.0406842,0.017843
462,0.0333722,0.0291817
528,0.0319442,0.0326348
594,0.0444651,0.0212922
660,0.03203,0.0356314
726,0.0344764,0.0345896
792,0.0455069,0.0237425
858,0.0364703,0.033977
924,0.0387918,0.0333488
990,0.0514649,0.0208825
1056,0.0400404,0.0326933
1122,0.0440203,0.0296382
1188,0.0553433,0.0188146
1254,0.0473329,0.0278551
1320,0.034812,0.0383939
1386,0.0556009,0.0182644
1452,0.0495101,0.0251082
1518,0.049514,0.026427
1584,0.0572045,0.0191033
1650,0.0507587,0.0278238
1716,0.0516717,0.0296772
1782,0.0616487,0.0203714
1848,0.052815,0.030797
1914,0.0541845,0.031117
1980,0.0634006,0.0220726
2046,0.054481,0.031753
2112,0.0556555,0.0310077
2178,0.0649418,0.0221038
2244,0.056112,0.0311053
2310,0.057107,0.0302976
2376,0.0665728,0.0216317
2442,0.0593661,0.0295055
2508,0.0599319,0.0289203
2574,0.0688865,0.0205392
2640,0.0613833,0.0283662
2706,0.062312,0.0275429
2772,0.0702171,0.0193374
2838,0.063584,0.0267391
2904,0.0641497,0.0260017
2970,0.0565061,0.0338092
3036,0.0644853,0.024839
3102,0.0645711,0.0247141
3168,0.0725816,0.0180888
3234,0.0661631,0.0226812
3300,0.0680711,0.0213039
3366,0.0732293,0.0162081
3432,0.0680203,0.0213819
3498,0.0683247,0.0235162
3564,0.0742984,0.0195793
3630,0.0700766,0.0286354
3696,0.0740603,0.0296694
3762,0.0861326,0.0205235
3828,0.0801121,0.0308126
3894,0.0817235,0.0324982
3960,0.0907757,0.0252877
4026,0.0836159,0.0354207
4092,0.0806037,0.0380661
4158,0.0931753,0.0250262
4224,0.0778451,0.0394239
4290,0.0810407,0.035171
4356,0.0941352,0.02146
4422,0.0835144,0.0301181
4488,0.0795853,0.0315462
4554,0.0940728,0.0165749
4620,0.0651642,0.0417338
4686,0.0812436,0.0242888
4752,0.0930661,0.0120605
4818,0.0851142,0.0177845
4884,0.0839632,0.0170782
4950,0.0907445,0.00925901
5016,0.0839046,0.013828
5082,0.0804515,0.0150688
5148,0.0884463,0.0066604
5214,0.0748758,0.0187365
5280,0.075941,0.0184166
5346,0.0836861,0.0118459
5412,0.0840646,0.0133793
5478,0.0846772,0.0161808
5544,0.0896286,0.0148464
5610,0.0852273,0.026626
5676,0.0873031,0.0308868
5742,0.0972527,0.0237308
5808,0.0914273,0.0353465
5874,0.090764,0.0412968
5940,0.101295,0.0324202
6006,0.088579,0.0490887
6072,0.0875567,0.0526199
6138,0.10101,0.040536
6204,0.0868427,0.0578405
6270,0.0472393,0.0964451
6336,0.0954696,0.0488663
6402,0.0791834,0.0661358
6468,0.0847552,0.0627334
6534,0.101638,0.0465526
6600,0.0923989,0.0567402
6666,0.0943186,0.0557452
6732,0.111124,0.0396541
6798,0.0988993,0.0524716
6864,0.100128,0.0512542
6930,0.118108,0.0338326
6996,0.102146,0.0478323
7062,0.101919,0.0481367
7128,0.117398,0.0327362
7194,0.103406,0.0470793
7260,0.106687,0.0441412
7326,0.125139,0.0269186
7392,0.113687,0.03958
7458,0.113664,0.0408442
7524,0.128631,0.0264231
7590,0.113313,0.0408286
7656,0.112021,0.0418431
7722,0.125088,0.0289749
7788,0.109067,0.0434389
7854,0.108268,0.0441334
7920,0.0990944,0.0525301
7986,0.107167,0.0437081
8052,0.106379,0.0437901
8118,0.118861,0.0316008
8184,0.106367,0.0441646
8250,0.106282,0.0441881
8316,0.121222,0.0299893
8382,0.107456,0.0432906
8448,0.106504,0.0441451
8514,0.119735,0.0306995
8580,0.107741,0.0432711
8646,0.107444,0.0439656
8712,0.120679,0.0302898
8778,0.109703,0.042284
8844,0.111576,0.0407623
8910,0.123914,0.029209
8976,0.111771,0.0411407
9042,0.11325,0.0396502
9108,0.12615,0.0273283
9174,0.115279,0.0386358
9240,0.115306,0.0387645
9306,0.12853,0.0255842
9372,0.117101,0.0375003
